County_FIPS,Customers
42089,85900
42091,224080
42093,12181
42095,161848
42097,46261
42099,21128
42101,802812
42103,19414
42105,9352
42107,74362
42109,21359
42111,34025
42113,3290
42115,18031
42117,22387
42119,28701
42121,26075
42123,22413
42125,113196
42127,25764
42129,188408
42131,12422
42133,195191
44001,33839
44003,120795
44005,62021
44007,242599
44009,48730
45001,9846
45003,79309
45005,4639
45007,101520
45009,8728
45011,10628
45013,127289
45015,162211
45017,9147
45019,231046
45021,39741
45023,20548
45025,16153
45027,17809
45029,20355
45031,19211
45033,10099
45035,73269
45037,12717
45039,13983
45041,54564
45043,46010
45045,208040
45047,40695
45049,8886
45051,259189
45053,17702
